,f_score,p_score
B_0,0.022757221028,3.81221966768e-12
B_1,0.0206771349147,3.61301036846e-11
B_2,0.213838339477,3.22684274891e-100
B_3,0.143138353461,8.67423950208e-68
B_4,0.00151298222504,0.073326955493
B_5,0.00134862034784,0.0908891069192
B_6,0.00135830326852,0.0897373522328
B_7,0.000866252174786,0.175404528592
B_max,0.0446984101479,2.24607086036e-22
B_min,0.00212324913829,0.0338867388294
B_median,0.24168297785,5.83186030734e-113
G_0,0.0536677724463,1.55254941588e-26
G_1,0.0622900746008,1.57932888007e-30
G_2,0.00536004922642,0.000750245167634
G_3,0.00217627645521,0.0317341552265
G_4,0.441268671674,6.88720305804e-204
G_6,0.205779271866,1.58443454226e-96
G_7,0.000728418296949,0.214026006682
G_max,0.0737850840894,7.65043663989e-36
G_min,0.00248308607812,0.0217824097129
G_median,0.0816219579595,1.83877512872e-39
R_0,0.0961761401555,3.55446889942e-46
R_1,0.102551251102,4.09886193207e-49
R_2,0.00707788352937,0.000107459649839
R_3,0.00506967129621,0.00104558044368
R_4,0.077717643279,1.16733264287e-37
R_5,0.332667028116,1.69371934224e-154
R_6,0.376017568424,3.08727811861e-174
R_7,0.0675163073291,6.04059507564e-33
R_max,0.127591921973,1.21752221409e-60
R_min,0.194323339589,2.81238368152e-91
R_median,0.0674648170701,6.38098783459e-33
H_0,0.0242601579104,7.52651631607e-13
H_1,0.00176318391346,0.0532121668256
H_2,0.0062027258112,0.00028808931346
H_3,0.00547791140847,0.000655898732782
H_4,0.091285425823,6.39487026159e-44
H_5,0.18615126993,1.56779284166e-87
H_6,0.319528110571,1.65178619682e-148
H_7,0.0113760722801,9.1046790843e-07
H_max,0.00441603720375,0.00221796118439
H_median,0.0911243229686,7.58806478232e-44
S_0,0.148640226949,2.57259111675e-70
S_1,0.167093369661,8.65943626341e-79
S_2,0.0252496943665,2.58907420933e-13
S_4,0.175353094567,1.40474782975e-82
S_5,0.00260883634249,0.0186973031744
S_6,0.16780184577,4.09591337016e-79
S_7,0.0202917471321,5.48333287387e-11
S_max,0.0967329566003,1.96830496902e-46
S_min,0.0782866349876,6.37437635516e-38
S_median,0.247503298236,1.27080018317e-115
V_0,0.0692379288062,9.66330915633e-34
V_1,0.105797167382,1.31002597912e-50
V_2,0.000177649103738,0.539452632676
V_3,6.12719556134e-05,0.71856085183
V_4,0.0434513674578,8.5222886287e-22
V_5,0.167329735973,6.74548874469e-79
V_6,0.26187721132,3.41512347282e-122
V_7,0.0531074178455,2.8231262572e-26
V_max,0.0930661492909,9.65267765916e-45
V_min,0.17227501319,3.62878968546e-81
V_median,0.019446202685,1.37028151361e-10
